run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.1_b0_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.1_b0_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:33:44+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.5_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.5_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:54:40+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.5_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.5_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:15:01+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.5_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.5_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:35:00+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.95_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.95_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:55:06+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.95_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.95_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:15:35+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.95_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.95_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:35:43+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.99_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.99_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T17:53:22+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.99_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.99_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:13:22+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.2_b0.99_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.2_b0.99_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:33:16+00:00
